count,shrub_cov_20m,shrub_cov_30m,shrub_cov_40m,shrub_cov_50m
552,0.148229,0.2184,0.081459,0.116865
553,0.14819,0.2984,0.17912,0.101996
554,0.148164,0.3676,0.166293,0.0779462
555,0.148002,0.3836,0.222099,0.100304
556,0.147917,0.3872,0.101036,0.14538
557,0.147872,0.3904,0.0265529,0.145092
558,0.147866,0.3712,0.0468052,0.0974238
559,0.147744,0.3628,0.0519807,0.0447516
560,0.147465,0.2172,0.0954105,0.0337347
561,0.147377,0.0756,0.0857344,0.0563085
562,0.147208,0.1096,0.192171,0.0608209
563,0.147176,0.172,0.173944,0.128026
564,0.147113,0.0432,0.236726,0.0993679
565,0.147042,0.1172,0.0630069,0.0957676
566,0.147037,0.2368,0.045005,0.0583967
567,0.146933,0.3188,0.18497,0.100844
568,0.146805,0.2936,0.09046,0.175442
569,0.146675,0.1548,0.0411795,0.171194
570,0.146672,0.1292,0.0861845,0.12871
571,0.146602,0.0916,0.198922,0.101924
572,0.146593,0.0796,0.425972,0.1034
573,0.14656,0.1056,0.346538,0.114885
574,0.146353,0.1872,0.268455,0.134291
575,0.146287,0.1924,0.0607567,0.171266
576,0.146275,0.0868,0.181145,0.179654
577,0.146239,0.2832,0.122639,0.126298
578,0.146199,0.242,0.0951855,0.111609
579,0.146101,0.1176,0.234926,0.148224
580,0.145841,0.0544,0.112737,0.127666
581,0.145739,0.0564,0.128939,0.104336
582,0.145709,0.0672,0.0891098,0.0826266
583,0.145534,0.0476,0.111387,0.050656
584,0.145519,0.0308,0.118363,0.0817625
585,0.145393,0.0944,0.0861845,0.0919873
586,0.145387,0.1056,0.265304,0.0709977
587,0.145254,0.0668,0.105087,0.0721858
588,0.145171,0.1508,0.0848343,0.0771182
589,0.145144,0.1456,0.103736,0.116469
590,0.145072,0.096,0.072458,0.173318
591,0.145059,0.2092,0.204998,0.146568
592,0.145015,0.1696,0.126914,0.0862269
593,0.144941,0.1252,0.128939,0.062609
594,0.144847,0.1108,0.116113,0.0658493
595,0.144648,0.1156,0.117013,0.150024
596,0.14446,0.0864,0.0841593,0.193947
597,0.144457,0.1152,0.110487,0.166693
598,0.144302,0.068,0.13344,0.109845
599,0.144257,0.1852,0.146041,0.0354628
600,0.144231,0.1724,0.0870846,0.0295224
601,0.144087,0.258,0.102386,0.0591167
602,0.143758,0.2784,0.0643571,0.0489999
603,0.143725,0.2788,0.0641321,0.0237139
